DEBUG 12 10 33 31 880 414 24 4 1
austin 402 487 148 62 69614 65703 2115 94 8
calvin 165 291 87 32 29856 36166 1169 54 4
connor 3 9 3 0 506 1047 0 0 0
dickwood 73 124 34 6 12958 15357 616 23 5
erin 12 17 4 0 1519 1725 0 1 0
hobbes 21 78 19 4 5362 9081 319 22 2
luis 308 261 88 49 39470 35114 1043 58 4
pato 18 83 22 4 6199 9258 145 30 0
rk 83 149 41 9 15435 19163 57 41 0
roshan 227 356 97 19 35501 44157 1339 97 0
sean 33 40 11 2 4044 6207 256 6 0
zack 663 620 203 97 94503 86983 3046 102 15
